Date,Unique ID,#,Category,REQT Description,Spearhead,Stakeholder,Phase/Epic,Reqt Type,Status,Priority,Code Ref,Test Ref
"2025-09-03","CBS-REQ-001","1","Authentication","Allow students to register with a university-issued email address and create a secure account.","Bassel Taleb","Student Users","Authentication","Technical","Done","High","SoftwareEng/Core/Services/Auth/SupabaseAuthService.swift, SoftwareEng/Core/Views/Auth/LoginView.swift",""
"2025-09-05","CBS-REQ-002","1","Security","Implement secure credential-based login with session token management and automatic expiry.","Saad Alzamzami","Student Users","Authentication","Technical","Done","High","SoftwareEng/Core/Services/Auth/SupabaseAuthService.swift, SoftwareEng/Core/Manager/AuthManager.swift, SoftwareEng/Core/Utilities/KeychainService.swift",""
"2025-09-11","CBS-REQ-003","1","Security","Enable biometric authentication (Face ID / Touch ID) for returning users on iOS devices.","Bassel Taleb","Student Users","Authentication","Technical","Planned","Medium","",""
"2025-09-15","CBS-REQ-004","1","Authentication","Provide password reset functionality via verified university email.","Bassel Taleb","Student Users","Authentication","Technical","Planned","Medium","",""
"2025-09-18","CBS-REQ-005","1","Accessibility","Allow all authenticated users to view and update their profile, contact details, and booking preferences.","Syeda Ahmed","Student Users","Authentication","UX","In-Progress","Medium","SoftwareEng/Core/Views/Auth/ProfileView.swift",""
"2025-09-22","CBS-REQ-006","2","Booking","Enable students to search and filter tutors by subject, availability, and rating.","Umaya Hassan","Student Users","Tutor Booking","UX","Done","High","SoftwareEng/Core/Services/Tutor/TutorService.swift, SoftwareEng/ViewModels/Tutor/TutorViewModel.swift",""
"2025-09-25","CBS-REQ-007","2","Booking","Display a live availability calendar for each tutor showing open, booked, and blocked slots.","Saad Alzamzami","Tutor Users","Tutor Booking","Technical","In-Progress","High","SoftwareEng/Core/Services/Tutor/TutorService.swift (getTutorAvailability)",""
"2025-09-29","CBS-REQ-008","2","Booking","Allow students to reserve a tutor session slot and receive an instant booking confirmation.","Bassel Taleb","Student Users","Tutor Booking","Technical","Done","High","SoftwareEng/Core/Services/Tutor/TutorService.swift (bookSession), SoftwareEng/ViewModels/Tutor/TutorViewModel.swift","SoftwareEngTests/RentableTests.swift"
"2025-10-02","CBS-REQ-009","2","Booking","Permit session cancellation or rescheduling within a defined policy window (e.g., 24 hours notice).","Jason Myers","Academic Services (External)","Tutor Booking","Policy","Done","Medium","SoftwareEng/Core/Protocols/Rentable.swift, SoftwareEng/Core/Models/Tutor/Tutor.swift (canCancel), SoftwareEng/App/Config.swift (tutorCancellationDeadline)","SoftwareEngTests/RentableTests.swift"
"2025-10-09","CBS-REQ-010","3","Booking","Allow students to search and filter study rooms by capacity, location, equipment available, and real-time availability.","Umaya Hassan","Student Users","Room Booking","UX","Done","High","SoftwareEng/Core/Services/Room/RoomService.swift, SoftwareEng/Core/Views/Room/RoomListView.swift","SoftwareEngTests/RoomTests.swift"
